epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,9860.52,1.18914,0.5414,0.00437,0.55819,0.66763,0.61372,0.35482,1.28503,0.5819,0.00677,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,9976.42,1.18891,0.52753,0.00437,0.55708,0.66773,0.61183,0.35266,1.28578,0.58082,0.00678,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,10091.9,1.18346,0.52734,0.00435,0.55317,0.66598,0.58026,0.34556,1.28567,0.58103,0.00678,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,10206.9,1.18183,0.52549,0.00439,0.56062,0.66513,0.58243,0.34521,1.28598,0.58311,0.00678,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,10322.8,1.17654,0.52264,0.00437,0.56713,0.66295,0.58335,0.34577,1.2875,0.5805,0.0068,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,10439.1,1.17803,0.52014,0.00434,0.56898,0.66193,0.58329,0.34589,1.2877,0.58187,0.0068,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,10554.1,1.17156,0.51715,0.00429,0.56528,0.66383,0.58411,0.34633,1.28734,0.58394,0.0068,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,10669.3,1.17003,0.51648,0.00429,0.56691,0.65845,0.58327,0.34655,1.28817,0.5846,0.0068,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,10784.8,1.16597,0.51216,0.00425,0.56378,0.6476,0.58387,0.3466,1.28834,0.58525,0.0068,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,10899.8,1.15783,0.50738,0.00422,0.55567,0.64007,0.58329,0.349,1.28932,0.58662,0.00681,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,11015.1,1.15641,0.50752,0.00422,0.56086,0.63479,0.58108,0.34739,1.28915,0.58803,0.0068,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,11130.7,1.15009,0.49962,0.0042,0.55733,0.63548,0.57839,0.34648,1.28974,0.5877,0.00681,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,11246.1,1.14892,0.49576,0.00419,0.72227,0.54218,0.56851,0.34339,1.29005,0.58699,0.00681,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,11360.9,1.14845,0.49694,0.00421,0.72336,0.54447,0.56761,0.34307,1.29036,0.58646,0.00681,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,11476.4,1.13619,0.49889,0.00414,0.55994,0.63245,0.57739,0.34675,1.29027,0.58841,0.00681,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,11591.5,1.14279,0.49424,0.00416,0.5586,0.6295,0.57726,0.34672,1.28988,0.58851,0.0068,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,11706.8,1.12983,0.48648,0.00411,0.55896,0.62934,0.57651,0.3459,1.2901,0.58907,0.00681,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,11822.6,1.12749,0.48127,0.00411,0.55806,0.63227,0.57714,0.34623,1.2905,0.58907,0.00681,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,11937.5,1.12679,0.48659,0.00409,0.56273,0.62914,0.57576,0.34594,1.29159,0.59032,0.00681,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,12052.2,1.11578,0.4715,0.00403,0.56161,0.63305,0.57482,0.34513,1.2922,0.58883,0.00682,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,12167.7,1.1115,0.47307,0.00399,0.56041,0.63398,0.57398,0.34424,1.29276,0.58965,0.00683,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,12283.2,1.10674,0.47131,0.004,0.55683,0.63306,0.57501,0.34434,1.29305,0.59,0.00683,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,12398,1.10585,0.46734,0.00398,0.55764,0.6351,0.57471,0.34422,1.29402,0.59039,0.00683,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,12513.6,1.09883,0.46453,0.00397,0.555,0.63278,0.57194,0.34372,1.29406,0.59079,0.00684,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,12629.2,1.08934,0.45916,0.00392,0.55811,0.63569,0.57303,0.34371,1.29503,0.59153,0.00685,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,12744,1.08884,0.46327,0.00391,0.5574,0.63374,0.57157,0.34268,1.29474,0.59055,0.00685,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,12859.6,1.09002,0.45895,0.0039,0.55672,0.63505,0.57182,0.34297,1.29546,0.59259,0.00686,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,12975.3,1.0817,0.45411,0.00386,0.55843,0.63515,0.57231,0.34341,1.29563,0.59243,0.00686,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,13090.2,1.06997,0.44622,0.00382,0.5572,0.63395,0.57068,0.34273,1.29628,0.59287,0.00686,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,13205.3,1.06777,0.44418,0.00382,0.55507,0.63512,0.57122,0.34302,1.29661,0.59408,0.00687,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,13320.8,1.06911,0.44599,0.00379,0.55369,0.63476,0.57157,0.34272,1.29652,0.59597,0.00687,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,13435.7,1.06738,0.44023,0.0038,0.55189,0.63308,0.57167,0.3425,1.29737,0.59573,0.00687,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,13550.8,1.05602,0.43512,0.00374,0.54981,0.63029,0.57121,0.34225,1.29726,0.59689,0.00688,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,13666.7,1.04921,0.42608,0.00372,0.54841,0.63029,0.57073,0.34255,1.29843,0.59717,0.00688,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,13781.9,1.04555,0.43068,0.00369,0.54725,0.62817,0.57069,0.34212,1.29891,0.59732,0.00689,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,13896.9,1.04657,0.42697,0.00367,0.54365,0.62798,0.5717,0.34208,1.29892,0.59946,0.00689,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,14012.7,1.04192,0.42861,0.00365,0.54473,0.62558,0.57213,0.34261,1.29905,0.60033,0.0069,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,14127.8,1.03508,0.42235,0.00363,0.53958,0.62541,0.57157,0.34297,1.29937,0.60121,0.0069,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,14243.3,1.02713,0.41994,0.00361,0.54171,0.62063,0.57123,0.3421,1.29965,0.603,0.0069,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,14359.4,1.02533,0.4184,0.00361,0.74278,0.53084,0.56166,0.34007,1.30062,0.60292,0.00691,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,14474.5,1.01971,0.41641,0.00355,0.74275,0.53095,0.56131,0.33945,1.30074,0.60574,0.00691,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,14589.2,1.01483,0.40763,0.00355,0.53746,0.6127,0.57121,0.3422,1.30091,0.60619,0.00691,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,14705,1.01182,0.40508,0.0035,0.54213,0.6137,0.57157,0.34198,1.30044,0.60945,0.00691,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,14819.9,1.00174,0.4019,0.0035,0.54164,0.61073,0.57028,0.3408,1.30058,0.60961,0.00691,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,14934.7,1.0011,0.405,0.00347,0.53961,0.60858,0.56928,0.34056,1.30174,0.60929,0.00692,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,15050.3,0.9962,0.40297,0.00346,0.72508,0.53603,0.55815,0.33677,1.30224,0.60918,0.00693,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,15165.6,0.9911,0.39898,0.00344,0.71366,0.54743,0.55162,0.33477,1.30237,0.6117,0.00692,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,15280.1,0.9852,0.39317,0.00343,0.71474,0.54785,0.55309,0.33566,1.30276,0.6124,0.00693,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,15396.2,0.97788,0.39841,0.0034,0.72324,0.53779,0.55061,0.33466,1.30294,0.61495,0.00693,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,15511.8,0.97808,0.3927,0.00338,0.72318,0.54014,0.55156,0.33513,1.30324,0.61611,0.00693,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,15626.5,0.96969,0.38521,0.00336,0.72134,0.54138,0.55064,0.33532,1.30399,0.61676,0.00694,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,15742.3,0.96437,0.38778,0.00331,0.71991,0.54002,0.54712,0.33376,1.30437,0.61906,0.00694,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
